station_id,availableBikeNumber,freeSlotNumber,status
006,1,26,working
007,5,3,working
014,2,14,working
018,7,9,working
020,3,5,working
032,4,4,working
033,1,7,working
040,4,4,working
041,0,8,working
042,0,8,working
048,0,8,working
061,3,13,working
002,11,9,working
010,4,12,working
011,1,11,working
012,0,12,working
017,5,11,working
019,2,14,working
029,3,12,working
030,2,6,working
031,1,7,working
039,1,6,working
046,7,1,working
056,2,10,working
001,6,5,working
004,5,11,working
009,1,5,working
015,3,5,working
025,1,6,working
044,0,8,working
045,1,7,working
047,4,4,working
050,2,6,working
043,0,8,working
055,21,47,working
059,5,3,working
005,2,10,working
013,4,4,working
016,3,9,working
021,11,5,working
023,0,8,working
024,1,7,working
026,3,5,working
034,1,15,working
035,2,6,working
036,13,19,working
037,6,17,working
038,5,7,working
049,2,6,working
054,2,6,working
051,4,8,working
057,3,5,working
